,application_number,created_at,hotel_name,hotel_address_line_1,hotel_address_line_2,hotel_city,hotel_state,hotel_zip,hotel_status,license_in,license_out,total_in_household
9,W4HR84B7CJ,2024-10-01 21:35:44.197400+00:00,Mint House St. Petersburg,77 11th St N,,St. Petersburg,FL,33705,Booked,2024-10-13,2024-10-31,5.00
10,6YR8ZVBWX5,2024-10-01 21:48:45.294388+00:00,Holiday Inn Express Inverness,903 E Gulf To Lake Hwy,,Lecanto,FL,34461,Booked,2024-10-21,2024-11-20,1.00
25,V4SXRZA6TY,2024-10-01 22:56:35.319499+00:00,Residence Inn Tampa Suncoast Parkway at NorthPointe Village,2101 Northpointe Pkwy (Northpointe Village Shopping Center),,Lutz,FL,33558,Rejected,2024-11-01,,1.00
27,UKJUNZB34N,2024-10-01 22:58:42.677192+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-17,2024-11-16,1.00
31,NZMT3PHSSF,2024-10-01 23:06:37.062397+00:00,Days Inn by Wyndham St. Petersburg / Tampa Bay Area,5005 34th Street,,North St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,2.00
39,4APLDUHURU,2024-10-01 23:16:40.909211+00:00,Quality Inn & Suites Conference Center,5316 Us Highway 19,,New Port Richey,FL,34652,Booked,2024-10-15,2024-11-14,3.00
42,7WCBE9R2TW,2024-10-01 23:21:04.874008+00:00,Extended Stay America Suites Clearwater Carillon Park,2311 Ulmerton Rd.,,Clearwater,FL,33762,Rejected,2024-10-16,2024-11-14,3.00
43,7WCBE9R2TW,2024-10-01 23:21:04.874008+00:00,Comfort Inn & Suites Northeast - Gateway,875 94th Avenue North,,St Petersburg,FL,33702,Booked,2024-10-21,2024-11-16,3.00
47,H45KWE3ABM,2024-10-01 23:30:23.150196+00:00,Econo Lodge Crystal River,2575 Suncoast Blvd US 19,,Crystal River,FL,34428,Booked,2024-10-20,2024-11-19,4.00
48,KUPFU75HMV,2024-10-01 23:32:23.752267+00:00,Residence Inn Suncoast Parkway at Northpointe Village,2101 Northpointe Parkway,,Lutz,FL,33558,Booked,2024-11-01,2024-12-01,2.00
52,Q7WDZN9SD3,2024-10-01 23:34:47.971455+00:00,Extended Stay America Premier Suites Port Charlotte I75,24100 Beatrix Blvd,,Port Charlotte,FL,33954,Moved Out,2024-10-06,2024-10-12,2.00
58,J32AKA7PCS,2024-10-01 23:37:18.841906+00:00,Comfort Suites Clearwater - Dunedin,1941 Edgewater Dr,,Clearwater,FL,33755,Moved Out,2024-10-15,2024-10-24,4.00
63,4LTDVC9UQM,2024-10-01 23:39:35.267372+00:00,Extended Stay America Select Suites,5401 E Beaumont Center Blvd,,Tampa,FL,33634,Rejected,,,3.00
83,PNJ6LK22E2,2024-10-01 23:52:17.221769+00:00,Country Inn and Suites by Radisson,4750 N Dale Mabry Hwy,,Tampa,FL,33614,Booked,2024-11-04,2024-12-04,3.00
85,C4RABDW9UU,2024-10-01 23:53:56.335143+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St. Petersburg,FL,33714,Moved Out,2024-10-21,2024-10-26,4.00
86,C4RABDW9UU,2024-10-01 23:53:56.335143+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave N,,St. Petersburg,FL,33714,Moved Out,2024-10-21,2024-10-26,4.00
87,C4RABDW9UU,2024-10-01 23:53:56.335143+00:00,Tarpon Inn,110 West Tarpon Avenue,,Tarpon Springs,FL,34689,Moved Out,2024-10-14,2024-10-21,4.00
94,NK27RSSUGN,2024-10-01 23:56:44.414434+00:00,Quailty Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,2.00
98,FEKZEZBSMM,2024-10-01 23:58:22.645514+00:00,Quality Inn St Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,,2.00
102,BWJVKLXBBF,2024-10-01 23:59:53.679147+00:00,Rodeway Inn,4076 S Suncoast Blvd,,Homosassa,FL,34446,Booked,2024-10-22,2024-11-21,2.00
103,BWJVKLXBBF,2024-10-01 23:59:53.679147+00:00,Roadway Inn,4076 S Suncoast Blvd,,Homosassa,FL,34446,Moved Out,2024-10-15,2024-10-22,2.00
111,AYYJH5QE47,2024-10-02 00:03:37.690215+00:00,Clarion Inn & Suites Central Clearwater Beach,20967 Us Highway 19 N,,Clearwater,FL,33765,Booked,2024-10-21,2024-11-20,3.00
112,AYYJH5QE47,2024-10-02 00:03:37.690215+00:00,AC Hotel Clearwater,395 Coronado D,,Clearwater Beach,FL,33767,Moved Out,2024-10-04,2024-10-06,3.00
116,89TG7HTA5F,2024-10-02 00:05:01.071724+00:00,Eco Lodge Airport at RJ Stadium,4732 N Dale Mabry Hwy,,Tampa,FL,33614,Booked,2024-10-31,2024-11-30,4.00
120,QA24N6JYR7,2024-10-02 00:07:17.965698+00:00,Quality Inn Saint Petersburg North-Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-10-24,4.00
121,QA24N6JYR7,2024-10-02 00:07:17.965698+00:00,Holiday Inn and Suites IHG,3535 Ulmerton Rd.,,Clearwater,FL,,Booked,2024-10-27,2024-11-25,4.00
132,5E3H5VYVYZ,2024-10-02 00:11:13.378752+00:00,Holiday Inn Express Clearwater East,13625 Icot Blvd,,Clearwater,FL,33760,Booked,2024-10-15,2024-11-15,2.00
135,9GY3VE2LTU,2024-10-02 00:13:01.021379+00:00,SpringHill Suites by Marriott Sarasota Bradenton,1020 University Pkwy,,Sarasota,FL,34234,Booked,2024-10-18,2024-11-18,2.00
139,UCRSWXVA9J,2024-10-02 00:14:24.421656+00:00,Quality Inn St. Petersburg North Tampa Bay,2595 54th Ave North,,St. Petersburg,FL,33714,Booked,2024-10-19,2024-11-18,1.00
152,V7WUGREJPA,2024-10-02 00:19:41.662173+00:00,Microtel Inn & Suites,4881 Commercial Way,,Spring Hill,FL,34606,Booked,2024-10-15,2024-11-14,2.00
153,V7WUGREJPA,2024-10-02 00:19:41.662173+00:00,Quality Inn Weeki Wachee,9373 Cortez Blvd,,Weeki Wachee,FL,34613,Moved Out,2024-10-06,2024-10-12,2.00
160,REWA7UN4NS,2024-10-02 00:22:14.625770+00:00,HomeTowne Studios by Red Roof Tampa - Airport,6121 West Sitka Street,,Tampa,FL,33634,Booked,2024-11-01,2024-12-01,7.00
161,7NQS838KUW,2024-10-02 00:22:44.666150+00:00,Days Inn by Wyndham Crystal River,2380 NW Hwy 19,,Crystal River,FL,34428,Booked,2024-10-20,2024-11-18,4.00
166,PMV992KE3X,2024-10-02 00:24:08.858188+00:00,Springhill Suites,16615 Crosspointe Run,,Land O' Lakes,FL,34638,Booked,2024-10-27,2024-11-26,1.00
168,GH24FBYP3E,2024-10-02 00:25:22.609758+00:00,Staybridge Suites Lakeland West,3855 Don Emerson Drive,,Lakeland,FL,33811,Booked,2024-10-11,2024-11-11,3.00
